PaisAccidente,Fecha,OperadorAerolinea,TipoAeronave,PasajerosABordo,TripulacionABordo,CantidadFallecidos,MuertesPasajeros,MuertesTripulacion
 West Germany,1955-08-11,Military - U.S. Air Force / Military - U.S. Air Force,Fairchild C119G / Fairchild C119G,57,10,67,57,10
 Brazil,1955-08-26,Cruzeiro,Douglas DC-3,9,4,13,9,4
 Nepal,1955-08-30,Kalinga Airlines,Douglas C-47A,0,3,2,0,2
 Burma (Myanmar),1955-09-02,Union of Burma Airways,Douglas DC-3,9,3,12,9,3
 California,1955-09-08,Currey Air Transport,Douglas DC-3,30,3,2,0,2
 Cameroon,1955-09-10,Societe France Hydro,Latecoere 631 (flying boat),8,8,16,8,8
 Alberta,1955-09-17,Pacific Western Airlines,Bristol 170 Freighter 31,4,2,2,1,1
 Libya,1955-09-22,British Overseas Airways,Canadair C-4 Argonaut,40,7,15,13,2
000 miles west of Honolulu,1955-09-24,Flying Tiger Line,Douglas C-54A,0,5,3,0,3
 Peru,1955-10-02,Faucett,Douglas C54A,31,4,19,15,4
 Wyoming,1955-10-06,United Air Lines,Douglas DC-4,63,3,66,63,3
 Austria,1955-10-10,JAT Yugoslav Airlines,Convair CV-340-58,25,4,7,6,1
 Colorado,1955-11-01,United Air Lines,Douglas DC-6B,39,5,44,39,5
 Nevada,1955-11-17,Military - U.S. Air Force,Douglas MC-54M,10,4,14,10,4
 Washingon,1955-11-17,Peninsular,Douglas C-54,70,4,28,27,1
 Japan,1955-11-20,Military - US Air Force,Douglas C124-DL Globemaster II,2,9,10,2,8
 Brazil,1955-12-01,Cruzeiro,Douglas DC-3,4,2,6,4,2
 Russia,1955-12-09,Aeroflot,Li-2,16,5,21,16,5
 South Carolina,1955-12-17,Riddle Airlines,Curtiss C-46A,0,2,2,0,2
 Florida,1955-12-21,Eastern Air Lines,Lockheed 749C-79-12 Constellation,12,5,17,12,5
  Australia,1956-01-12,Ansett ANA,Douglas C-47,0,2,1,0,1
 Newfoundland,1956-01-17,Quebecair,Douglas DC-3,15,3,4,1,3
 Czechoslovakia,1956-01-18,Ceskoslovenske Aerolinie,Douglas DC-3,23,3,22,19,3
 France,1956-01-28,Air France,Douglas C-47,0,3,3,0,3
 Quebec,1956-02-14,Spartan Air Services,Douglas C-47-DL,0,3,2,0,2
 California,1956-02-17,Military - U.S. Marine Corps,Douglas R5D2,35,5,40,35,5
 Malta,1956-02-18,Scottish Airlines,Avro 685 York C-1,45,5,50,45,5
 Egypt,1956-02-20,Transport Aerien Intercontinentaux (France),Douglas DC-6B,55,9,52,49,3
 Syria,1956-02-24,Syrian Airways,Douglas DC-3,16,3,19,16,3
 Pakistan,1956-02-25,Pakistan International Airlines,Douglas C-47B,0,3,3,0,3
 India,1956-03-21,Indian Airlines,Douglas DC-3,18,3,2,2,0
 England,1956-03-28,Starways,Douglas C-47B,0,3,1,0,1
 India,1956-03-31,National Air Operators,Douglas C-47A,0,3,3,0,3
Thailand,1956-03-31,Military - Royal Thai Air Force,Douglas C-47A,17,2,19,17,2
 Pennsylvania,1956-04-01,Trans World Airlines,Martin 404,33,3,22,21,1
 Washington,1956-04-02,Northwest Orient Airlines,Boeing 377 Stratocruiser 10-30,32,6,5,4,1
 Alaska,1956-04-09,Cordova Airlines,Aero Commander  520,5,1,6,5,1
 Brazil,1956-04-18,Panair do Brasil,Consolidated PBY-5A Catalina,7,5,3,1,2
 England,1956-04-30,Scottish Airlines,Avro 685 York C-1,49,5,2,2,0
 Nepal,1956-05-15,Indian Airlines,Douglas DC-3,28,3,14,14,0
 Ontario,1956-05-15,Military - Royal Canadian Air Force,CF-100 Mark 4B,0,2,2,0,2
 Guatemala,1956-05-24,Aviateca,Douglas C-47-DL (DC-3),28,3,30,27,3
 New Jersey,1956-06-20,Linea Aeropostal Venezolana,Lockheed 1049E-55 Super Constellation,64,10,74,64,10
 Nigeria,1956-06-24,British Overseas Airways,Canadair C-4 Argonaut,38,7,32,29,3
 Arizona,1956-06-30,United Air Lines / Trans World Airlines,Douglas DC-7 / Lockheed S Constellation,117,11,128,117,11
 Michigan,1956-07-09,Trans Canada Air Lines,Vickers Viscount,31,4,1,1,0
 New Jersey,1956-07-13,Military - U.S. Air Force,Douglas C-118A,56,10,46,38,8
 Ireland,1956-07-15,Swissair,Convair CV-440-11,0,4,4,0,4
 Argentina,1956-07-16,Aerolineas Argentinas,Douglas DC-3,14,4,18,14,4
 Burma,1956-08-08,Union of Burma Airways,Douglas DC-3,18,4,12,9,3
 Alaska,1956-08-29,Canadian Pacific Air Lines,Douglas DC-6B,14,8,15,11,4
 Jordan,1956-09-09,Jordan International Airlines,Curtiss C-46A-45-CU,53,4,1,1,0
 Oklahoma,1956-09-09,Continental Airlines,Douglas DC-3 / Cessna 170B,14,4,0,0,0
 Alaska,1956-10-02,Alaska Airlines,Stinson AT-19,4,1,5,4,1
 England,1956-10-10,Military - U.S. Navy,Douglas C188-B,50,9,59,50,9
 India,1956-10-19,Indian Airlines,Douglas DC-3,0,3,3,0,3
 England,1956-11-05,Britavia,Handley Page HP-1 Hermes,74,6,7,5,2
 Norway,1956-11-07,Braathens,de Havilland DH-114 Heron 2B,10,2,2,1,1
 Nicaragua,1956-11-15,Aerovias Guest,Douglas C-54A-10-DC,20,5,25,20,5
 Colombia,1956-11-17,Empresa Aviacion del Pacifico,Douglas DC-3,33,3,36,33,3
 France,1956-11-24,Linee Aeree Italiane,Douglas DC-6B,25,10,34,24,10
 Switzerland,1956-11-24,Ceskoslovenske Aerolinie,Ilyushin IL-12B,18,5,23,18,5
 Venezuela,1956-11-27,Linea Aeropostal Venezolana,Lockheed 749-79-34 Constellation,18,7,25,18,7
 British Columbia,1956-12-09,Trans Canada Air Lines,Canadair DC-4M-2 Northstar,59,3,62,59,3
 France,1956-12-12,Air France,Vickers 708 Viscount,0,5,5,0,5
 Germany,1956-12-22,JAT Yugoslav Airlines,Convair CV-340-58,27,3,3,1,2
 Italy,1956-12-22,Linee Aeree Italiane,Douglas DC-3,17,4,21,17,4
 Saudi Arabia,1956-12-31,Military - U.S. Air Force,Lockheed C-121C Super Constellation,31,7,12,12,0
 Oklahoma,1957-01-06,American Airlines,Convair CV-240-0,7,3,1,1,0
 Argentina,1957-01-11,Lineas Aereas del Estado,Vickers 615 Viking 1B,29,4,17,15,2
 Nicaragua,1957-01-23,Lanica,Douglas DC-3,13,3,16,13,3
 France,1957-01-29,Air France,SNCASE SE.2010 Armagnac,60,10,2,1,1
 California,1957-01-31,Douglas Aircraft,Douglas DC-7B / U.S. Air Force F-89J,0,6,5,0,5
 New York,1957-02-01,Northeast Airlines,Douglas DC-6A,95,6,21,21,0
 South Korea,1957-02-22,Military - U.S. Air Force,Douglas C-124C,149,10,22,19,3
 Washington,1957-03-02,Alaska Airlines,Douglas C-54B,2,3,5,2,3
 Japan,1957-03-04,Japanese Air Force,Curtiss C-46D-15--CU,15,2,17,15,2
 England,1957-03-05,Military -Royal Air Force,Blackburn Beverley C Mark 1,17,5,18,15,3
 Colombia,1957-03-09,AVIANCA,Douglas DC-3,12,3,15,12,3
 England,1957-03-14,British European Airways,Vickers Viscount 701,15,5,20,15,5
 Philippines,1957-03-17,Military - Philippine Air Force,Douglas C-47-A-75-DL Skytrain,22,3,24,21,3
 Bolivia,1957-03-18,Lloyd Aereo Boliviano,Douglas DC-3,16,3,19,16,3
 Brazil,1957-04-07,Varig,Curtiss C-46A-45-CU,35,5,40,35,5
 Algeria,1957-04-08,Air France,Douglas DC-3,30,4,34,30,4
 Brazil,1957-04-10,REAL,Douglas DC-3,26,4,26,23,3
 Jordan,1957-04-17,Military -Royal Air Force,Vickers Valetta C-Mk.1,21,3,24,21,3
 Hants,1957-05-01,Eagle Aviation,Vickers Viking 1B,30,5,34,29,5
 India,1957-05-05,Indian Airlines,Douglas C-47A,0,3,1,0,1
 Madrid,1957-05-09,Aviaco,Bristol 170 Freighter,32,5,37,32,5
 Greenland,1957-05-13,U.S. Overseas Airways,Douglas DC-4,0,3,2,0,2
 India,1957-05-13,Indian Airlines,Douglas DC-3,0,2,2,0,2
 Argentina,1957-05-13,Lineas Aereas del Estado,Vickers 615 Viking 1B,11,5,16,11,5
 Russia,1957-06-14,LOT Polish Airlines,Ilyushin P-14,8,5,9,5,4
 Switzerland,1957-06-18,Swissair,Douglas C-47B,0,9,9,0,9
 Maryland,1957-06-22,Capital Airlines,Douglas C-47A,0,3,3,0,3
 BC,1957-06-23,Pacific Western,Douglas DC-3,15,3,14,12,2
 Pakistan,1957-07-01,Pakistan International Airlines,Douglas DC-3,20,4,24,20,4
 Indonesia,1957-07-16,KLM Royal Dutch Airlines,Lockheed 1049C Super Constellation,59,9,58,49,9
 Taiwan (Formosa),1957-07-16,Military - United States Air Force,Douglas C-47A-90 (DC-3),9,7,16,9,7
 California,1957-07-25,Western Airlines,Convair CV-240,13,3,1,1,0
 Quebec,1957-08-11,Maritime Central Airways,Douglas DC-4,73,6,79,73,6
 Denmark,1957-08-15,Aeroflot,Ilyushin IL-14P,18,5,23,18,5
 India,1957-08-20,Indamer,Douglas DC-3,0,8,8,0,8
 Honduras,1957-08-29,Sahsa Airlines,Douglas DC-3,9,3,12,9,3
 Venezuela,1957-09-03,Avensa,Douglas DC-3,5,3,8,5,3
 Massachusetts,1957-09-15,Northeast Airlines,Douglas DC-3,21,3,12,10,2
  Uruguay,1957-09-18,REAL,Convair CV-440-62,30,5,1,0,1
 Maharashtra,1957-09-27,èkoda (India) Ltd,Let Aero 45S,0,3,3,0,3
 Scotland,1957-09-28,British European Airways,de Havilland DH-114 Heron,0,3,3,0,3
 Russia,1957-10-01,Aeroflot,Ilyushin IL-12,22,5,27,22,5
 Lebanon,1957-10-03,Lebanese International Airways,Curtiss C-46A-45-CU,23,4,27,23,4
 Brazil,1957-10-18,Varig,Douglas C-47A,0,2,2,0,2
 Ireland,1957-10-23,British European Airways,Vickers 802 Viscount,5,2,7,5,2
 Spain,1957-10-28,Iberia Airlines,Douglas DC-3,17,4,21,17,4
 West Germany,1957-11-03,Herfurtner Company,Douglas DC-4,3,7,7,0,6
 Russia,1957-11-04,TAROM,Ilushin Il-14,10,6,4,1,3
 England,1957-11-06,Bristol Aeroplane Co.,Bristol Britannia 175,0,15,15,0,15
 Hawaii,1957-11-08,Pan American World Airways,Boeing - 377-10-29 Stratocruiser,36,8,44,36,8
 England,1957-11-15,Aquilla Airways,Short Solent 3 (flying boat),50,8,43,35,8
 Spain,1957-11-15,Aviaco,de Havilland DH-114 Heron 2D,2,2,4,2,2
 New Zealand,1957-11-21,Straits Air Freight Express,Bristol 170 Freighter 31,2,2,4,2,2
 Argentina,1957-12-08,Aerolineas Argentinas,Douglas DC-4,55,6,61,55,6
 Quebec,1957-12-10,Northern Wings,Douglas C-47A,7,3,3,3,0
 Philippines,1957-12-11,Philippine Air Lines,de Havilland Canada DHC-3 Otter,11,1,2,1,1
 Russia,1957-12-18,Aeroflot,Ilyushin IL-12,22,5,27,22,5
 England,1957-12-23,Scottish Airlines,Avro 685 York C-1,0,4,4,0,4
 Hawaii,1957-12-23,Military - U.S. Navy,Lockheed WV-2,19,4,19,16,3
 Argentina,1957-12-31,Aerolineas Argentinas,Short Sunderland,44,6,9,1,8
 Brazil,1958-01-16,Cruzeiro,Fairchild C-82A,0,3,3,0,3
 Brazil,1958-02-01,Loide Aéreo Nacional,Douglas DC-4,68,5,5,3,2
 California,1958-02-01,Military - U.S.  Air Force / Military - U.S. Navy,Douglas C-118A / Lockheed P2V-5F,35,6,41,35,6
 Germany,1958-02-06,British European Airways,Airspeed Ambassador AS-57,38,6,23,21,2
 Italy,1958-02-15,Military - US Air Force,Douglas VC-47A,14,2,16,14,2
 French Polynesia,1958-02-19,Réseau Aérien Interinsulaire,Consolidated PBY-5A  Catalina,12,3,15,12,3
 Egypt,1958-02-19,KLM Royal Dutch Airlines,Douglas DC-6B,13,8,1,0,1
 Azores,1958-02-20,Military - U.S. Navy,Lockheed WV-2,0,22,22,0,22
 Lancs,1958-02-27,Silver City Airways,Bristol 170 Freighter 21,39,3,35,35,0
 Egypt,1958-03-07,Misrair,Vickers 628 Viking 1B,22,4,8,4,4
 Okinawa,1958-03-07,Military - U.S. Marine Corps/Military - U.S. Marine Corps,Fairchild R4Q / Dougas AD-6 skyraider,19,7,26,19,7
 New Mexico,1958-03-22,Private,Lockheed 18 Lodestar,2,2,4,2,2
 Nepal,1958-03-24,Indian Airlines,Douglas DC-3,16,4,20,16,4
 Florida,1958-03-25,Braniff Airlines,Douglas DC-7-C,19,5,9,9,0
 Texas,1958-03-27,Military - U.S. Air Force/Military - U.S. Air Force,Douglas C-124C / Fairchild C-119C,13,5,18,13,5
 Ecuador,1958-04-02,Transportes Aereos Orientales,Junkers JU-52/3m,12,2,3,3,0
 Michigan,1958-04-06,Capital Airlines,Vickers Viscount 745D,44,3,47,44,3
 Ecuador,1958-04-07,AREA,Douglas DC-3,29,3,32,29,3
 Spain,1958-04-14,Aviaco,de Havilland DH-114 Heron 2D,14,2,16,14,2
 10 miles SW of Las Vegas,1958-04-21,United Air Lines / Military - U.S. Air Force,Douglas DC-7 / F-100F,42,7,49,42,7
 India,1958-05-15,Pakistan International Airlines,Convair CV-240-7,32,6,21,17,4
 France,1958-05-16,British European Airways,Douglas C-47A,0,3,3,0,3
 Morocco,1958-05-18,Sabena,Douglas DC-7C,60,9,65,56,9
 Maryland,1958-05-20,Capital Airlines / Military - Air National Guard,Vickers Viscount 745D / T-33A,7,6,12,7,5
 India,1958-05-25,Dan-Air Services,Avro 685 York C-1,0,5,4,0,4
 Brazil,1958-05-31,Paraense Transportes Aéreos,Curtiss C-46D,0,4,4,0,4
 Algeria,1958-05-31,Air France,Douglas DC-3,12,3,15,12,3
 Philippines,1958-06-02,Pan American World Airways,Boeing 377 Stratocruiser 10-26,49,8,1,1,0
 Mexico,1958-06-02,Aeronaves de Mexico,Lockheed 749A Constellation,38,7,45,38,7
 West Virginia,1958-06-04,Capital Airlines,Douglas DC-3,0,3,1,0,1
 Russia,1958-06-09,Aeroflot,Ilyushin IL-12,20,4,24,20,4
 Brazil,1958-06-16,Cruzeiro,Convair CV-440-59,21,5,21,16,5
 India,1958-06-25,Indian Airlines,Douglas C-47A,4,3,5,3,2
 Massachusetts,1958-06-27,Military - U.S. Air Force,Boeing KC-135A,8,7,15,8,7
 Baangladesh,1958-07-09,Indian Airlines,Douglas C-47A,0,3,3,0,3
 Libya,1958-08-09,Central African Airways,Vickers Viscount 748D,47,7,36,32,4
 Brazil,1958-08-11,Loide Aéreo Nacional,Douglas DC-4,5,6,10,4,6
 Japan,1958-08-12,All Nippon Airways,Douglas DC-3,30,3,33,30,3
 100 miles W of Galway Bay,1958-08-14,KLM Royal Dutch Airlines,Lockheed 1049H Super Constellation,91,8,99,91,8
 Massachusetts,1958-08-15,Northeast Airlines,Convair CV-240-2,31,3,25,22,3
 Russia,1958-08-15,Aeroflot,Tupolev TU-104-A,54,10,64,54,10
 Russia,1958-09-02,Military - U.S. Air Force,Lockheed C-130A-II Hercules,0,17,17,0,17
 England,1958-09-02,Independent Air Travel,Vickers 621 Viking 1,0,3,3,0,3
 Brazil,1958-09-05,Loide Aereo Nacional,Curtiss C-46A-CU,14,4,14,12,2
 Russia,1958-09-07,Aeroflot,Aeroflot,22,5,27,22,5
 Washington DC,1958-09-08,Military - U.S. Air Force / U.S. Air Force,Boeing B-52 / Boeing B-52,0,16,13,0,13
 Japan,1958-09-09,Flying Tiger Line,Lockheed L-1049H Super Constellation,2,6,8,2,6
 France,1958-09-19,Military - U.S. Air Force,Lockheed C-130A Hercules,0,15,15,0,15
 Russia,1958-09-19,Aeroflot,Ilyushin IL-12,24,4,28,24,4
 Idaho,1958-10-09,Military - U.S. Air Force,Fairchild C-123 Provider,14,5,19,14,5
 Venezuela,1958-10-14,Linea Aeropostal Venezolana,Lockheed 1049E Super Constellation,17,6,23,17,6
 Bolivia,1958-10-15,Military - TAM (Bolivia),Douglas C-47A,17,3,20,17,3
 Russia,1958-10-17,Aeroflot,Tupolev TU-104A,71,9,80,71,9
 Italy,1958-10-22,British European Airways,Vickers Viscount 701C,26,5,31,26,5
 Cuba,1958-11-01,Cubana de Aviacion,Vickers Viscount 755D,16,4,17,13,4
 Italy,1958-11-03,Yemen Airlines,Douglas C-47-DL,4,4,8,4,4
 Colorado,1958-11-16,Capitol Airways,Curtiss C-46F,0,2,2,0,2
 Spain,1958-12-04,Aviaco,SNCASE Languedoc,16,5,21,16,5
 Uzbekstan,1958-12-23,Aeroflot,Ilyushin IL-14,15,6,21,15,6
 England,1958-12-24,BOAC,Bristol 175 Britannia 312,9,3,9,7,2
 Zimbabwe (Harare,1958-12-26,Union Aeromaritime de Transport,Douglas DC-6B,63,7,3,3,0
 Brazil,1958-12-30,VASP,Saab Scandia,33,4,21,17,4
 Guatemala,1959-01-06,Sahsa Airlines,Douglas DC-3,2,3,5,2,3
 Tennessee,1959-01-08,Southeast Airlines,Douglas DC-3,7,3,10,7,3
 Brazil,1959-01-11,Lufthansa,Lockheed L 1049G Super Constillation,29,10,36,29,7
 California,1959-01-14,California Air Freight,Curtiss C-46F,0,2,2,0,2
 Argentina,1959-01-16,Austral Lineas Aeras (Argentina),Curtiss C-46A-50-CU,47,5,51,46,5
 Russia,1959-01-18,Aeroflot,Ilyushin IL-14P,20,5,25,20,5
 Venezuela,1959-01-21,Linea Expresa Bolivar,Curtiss C-46D-15-CU,2,2,4,2,2
 Jordan,1959-01-22,Air Jordan,Convair CV-240-2,11,4,10,6,4
 Italy,1959-01-27,Air Charter,Avro 688,0,6,2,0,2
 Texas,1959-02-01,General Airways,Douglas DC-3,30,2,3,1,2
 Iowa,1959-02-03,Dwyer Flying Service - Private Charter,Beechcraft Bonanza 35,3,1,4,3,1
 New York,1959-02-03,American Airlines,Lockheed  188A Electra,68,5,65,63,2
 Surrey,1959-02-17,Turkish Airlines (THY),Vickers Viscount 794D,16,8,14,9,5
 Chile,1959-02-18,Southern Cross Airways,Curtiss C-46A,0,5,5,0,5
 Nicaragua,1959-03-05,TACA,Vickers Viscount 763,15,4,15,13,2
 India,1959-03-12,Indian Airlines,Douglas C-47A,4,3,5,2,3
 Spain,1959-03-13,Aviaco,Bristol 170 Freighter 21E,15,3,1,1,0
 Central African Republic,1959-03-29,Union Aeromaritime de Transport,Nord 2501 Noratlas,5,4,9,5,4
 India,1959-03-29,Indian Airlines,Douglas DC-3,20,4,24,20,4
 Georgia,1959-03-30,Riddle Airlines,Curtiss C-46A,0,2,2,0,2
 Mexico,1959-04-17,Tigres Voladores,Curtiss C-46F-1-CU,21,5,26,21,5
 Turkey,1959-04-23,Air Charter,Avro 688 Super Trader,0,12,12,0,12
 Spain,1959-04-29,Iberia Airlines,Douglas DC-3,25,3,28,25,3
 Spain,1959-05-02,Austria-Flugdienst,Douglas DC-3,2,3,5,2,3
 Maryland,1959-05-12,Capital Airlines,Vickers Viscount 745D,27,4,31,27,4
 West Virginia,1959-05-12,Capital Airlines,Lockheed C-69 Constellation,38,6,2,1,1
 Peru,1959-05-13,Transportes Aereos Peruanos,Curtiss C-46A,10,2,12,10,2
 Aregntina,1959-05-15,Aerolineas Argentinas,Douglas DC-3,6,4,10,6,4
 Peru,1959-05-21,Lineas Aéreas Interpolar,Curtiss C-46A-50-CU,4,4,8,4,4
 Ontario,1959-06-12,Tranair,Noorduyn Norseman,7,1,8,7,1
 Peru,1959-06-23,AVIANCA,Douglas DC-4,10,4,14,10,4
 Lombardia,1959-06-26,Trans World Airlines,Lockheed 1649A Starliner,59,9,68,59,9
 India,1959-08-03,Kalinga Airlines,Douglas DC-3,3,3,6,3,3
 Pakistan,1959-08-14,Pakistan International Airlines,Vickers 815 Viscount,0,3,2,0,2
 New York,1959-08-15,American Airlines,Boeing 707-123,0,5,5,0,5
 Spain,1959-08-19,Transair,Douglas DC-3,29,3,32,29,3
 Paraguay,1959-08-27,Aerolineas Argentinas,de Havilland DH-106 Comet 4,44,6,2,1,1
 Texas,1959-09-02,Aaxico Airlines,Curtiss C-46A,0,2,2,0,2
 Honduras,1959-09-12,Pan American World Airways,Douglas DC-4,0,3,3,0,3
 Brazil,1959-09-23,VASP,Saab Scandia 90A-1,16,4,20,16,4
 Alaska,1959-09-24,Reeve Aleutian Airlines,Douglas C-54B,11,5,16,11,5
 France,1959-09-24,T.A. Intercontinentaux (France),Douglas DC-7C,56,9,54,45,9
 Texas,1959-09-29,Braniff Airlines,Lockheed 188A Electra,28,6,34,28,6
 Russia,1959-10-23,Aeroflot,Ilyushin IL-14P,23,5,28,23,5
 California,1959-10-26,Pacific Air Lines,Douglas C-47A-DL,17,2,1,0,1
 Virginia,1959-10-30,Piedmont Airlines,Douglas DC-3,24,3,26,23,3
 Greece,1959-10-30,Olympic Airways,Douglas DC-3,15,3,18,15,3
 Quebec,1959-11-04,Wheeler Airlines,Douglas C-54A,0,5,5,0,5
 Ukraine,1959-11-16,Aeroflot,Antonov AN-10,32,8,40,32,8
 Lebanon,1959-11-21,Ariana Afghan Airlines,Douglas DC-4,22,5,24,19,5
 Illinois,1959-11-24,Trans World Airlines,Lockheed L-1049H Super Constellation,0,3,3,0,3
 Pennsylvania,1959-12-01,Allegheny Airlines,Martin 202,22,4,25,21,4
 Colombia,1959-12-08,Sociedad Aeronautica Medellin,Curtiss C-46A,42,3,45,42,3
 Uzbekistan,1959-12-13,Aeroflot,Ilyushin IL-18,24,5,29,24,5
 Alaska,1959-12-17,California Aircraft,Consolidated PBY-5A Catalina,0,3,3,0,3
 Italy,1959-12-21,Alitalia,Vickers 785D Viscount,0,2,2,0,2
 Brazil,1959-12-22,VASP,Vickers Viscount 827 / Fokker T-21,26,6,32,26,6
 Indonesia,1959-12-24,Garuda Indonesia Airlines,Douglas C-47A,0,2,1,0,1
 Bolivia,1959-12-31,Lloyd Aereo Boliviano,Douglas DC-3,7,4,11,7,4
 India,1960-01-03,Indian Airlines,Douglas C-47A,5,4,9,5,4
 North Carolina,1960-01-06,National Airlines,Douglas DC-6B,29,5,34,29,5
 Virginia,1960-01-18,Capital Airlines,Vickers Viscount 745D,46,4,50,46,4
 Turkey,1960-01-19,Scandinavian Airlines (SAS),Sud Aviation Caravelle 1,35,7,42,35,7
 Jamacia,1960-01-21,AVIANCA,Lockheed 1049E Super Constellation,39,7,37,35,2
 Australia,1960-01-26,Transportes Aéreos de Timor,de Havilland DH-114 Heron 2D,7,2,9,7,2
 Bolivia,1960-02-05,Lloyd Aereo Boliviano,Douglas DC-4,55,4,59,55,4
 Brazil,1960-02-25,REAL / Military - U.S. Navy,Douglas DC-3 / USN R4-D6,53,11,61,50,11
  Ukraine,1960-02-26,Aeroflot,Antonov 10A,25,8,32,24,8
 Ireland,1960-02-26,Alitalia,Douglas DC-7C,40,12,34,23,11
 Japan,1960-03-16,All Nippon Airways,Douglas DC-3,35,5,5,3,2
 10 mile SE of Tell City,1960-03-17,Northwest Orient Airlines,Lockheed 188C Electra,57,6,63,57,6
 Colombia,1960-03-19,SAMSA,Curtiss C-46,42,4,25,22,3
 Nicaragua,1960-04-05,Lanica,Curtiss C-46A-40-CU,14,4,2,1,1
 Brazil,1960-04-12,Cruzeiro,Douglas DC-3,19,3,10,8,2
 Colombia,1960-04-19,Lloyd Aereo Colombiano,Curtiss C-46,44,7,37,31,6
 North Carolina,1960-04-20,Piedmont Airlines / Private,Fairchild F-27 / Cessna 310,39,5,4,3,1
 Belgian Congo,1960-04-22,Sobelair SA (Belgium),Douglas C-54B,28,7,35,28,7
 Venezuela,1960-04-28,Linea Aeropostal Venezolana,Douglas DC-3,9,4,13,9,4
 Sudan,1960-05-15,Balair,Douglas DC-4-1009,5,7,12,5,7
 Argentina,1960-05-18,Transamerican Air Transport,Curtiss C-46,5,4,9,5,4
 Georgia,1960-05-23,Delta Air Lines,Convair CV-880,0,4,4,0,4
 Georgia,1960-06-10,Aeroflot,Ilyushin IL-14P,24,7,31,24,7
 Qld. Australia,1960-06-10,Trans Australia Airlines,Fokker F-27 Friendship 100,25,4,29,25,4
 Alaska,1960-06-14,Pacific Northern Airlines,Lockheed 749A-79-32 Constellation,9,5,14,9,5
 Brazil,1960-06-24,REAL,Convair CV-340-62,49,5,54,49,5
 Ecuador,1960-07-11,Military - U.S. Misson,Douglas C-47B-DK,14,4,18,14,4
 Philippines,1960-07-14,Northwest Orient Airlines,Douglas DC-7C,51,7,1,1,0
 Ethiopia,1960-07-15,Ethiopian Airlines,Douglas DC-3,8,3,1,0,1
 Denmark,1960-07-16,Flyve Tjenesten,de Havilland DH-89 Dragon Rapide,8,1,8,8,0
 Russia,1960-07-20,Aeroflot,Ilushin IL-14,19,4,23,19,4
 Illinois,1960-07-27,Chicago Helicopter Airways,Sikorsky S-58C helicopter,11,2,13,11,2
 Italy,1960-07-31,Deutsche Flugdienst,Convair CV-240-4,30,4,1,1,0
 Bolivia,1960-08-01,TAM (Bolivia),Douglas C-47,4,2,6,4,2
 Ukraine,1960-08-17,Aeroflot,Ilyushin IL-18B,27,7,34,27,7
 Greece,1960-08-24,Don Everall Aviation,Vickers 634 Viking 1B,0,3,3,0,3
 Senegal,1960-08-29,Air France,Lockheed 1049G Super Constellation,55,8,63,55,8
 Russia,1960-09-02,Aeroflot,Ilyushin IL-14P,13,5,18,13,5
 Uruguay,1960-09-07,Aerolineas Argentinas,Douglas DC-6,25,6,31,25,6
 Guam,1960-09-19,World Airways,Douglas DC-6AB,86,8,80,73,7
 Quebec Canada,1960-09-22,Wheeler Airlines,Noorduyn Norseman,3,1,3,2,1
 Russia,1960-09-26,Austrian Airlines,Vickers Viscount 837,31,6,31,26,5
 Mexico,1960-09-28,Mexicana,Douglas DC-3 (C-53-DO),15,3,8,5,3
 Italy,1960-09-29,United Arab Airlines,Vickers Viscount 739B,17,4,21,17,4
 Massachusetts,1960-10-04,Eastern Air Lines,Lockheed 188A Electra,67,5,62,59,3
 Italy,1960-10-14,Itavia,de Havilland DH-114 Heron 2,7,4,11,7,4
 Utah,1960-10-15,Capitol Airways,Curtiss C-46F,0,2,2,0,2
 Russia,1960-10-21,Aeroflot,Tupolev Tu-104A,0,3,3,0,3
 Montana,1960-10-28,Northwest Orient Airlines,Douglas C-54A-DC,8,4,12,8,4
 Ohio,1960-10-29,Arctic Pacific,Curtiss C-46F-1-CU,45,3,22,20,2
 Nepal,1960-11-05,Royal Nepal Airlines,Douglas C-47A,0,4,4,0,4
 Ecuador,1960-11-07,AREA,Fairchild F-27A,34,3,37,34,3
 Philippines,1960-11-23,Philippine Air Lines,Douglas DC-3,29,4,33,29,4
 Russia,1960-12-04,Aeroflot,Ilyushin 14M,9,5,14,9,5
 Brazil,1960-12-07,REAL,Curtiss C-46A-60-CK,13,2,15,13,2
 New York,1960-12-16,United Air Lines / Trans World Airlines,MD DC-8-11 / Lockheed  1049 S Const,116,12,128,116,12
 West Germany,1960-12-17,Military - U.S. Air Force,Convair C-131D (CV-340-79),13,7,20,13,7
 Philippines,1960-12-22,Philippine Air Lines,Douglas DC-3,34,3,28,26,2
 Russia,1960-12-26,Aeroflot,Ilyushin IL-18A,13,4,17,13,4
 Czechoslovakia,1961-01-02,Ceskoslovenske Aerolinie,Avia 14,5,5,10,5,5
 Finland,1961-01-03,Finnair,Douglas DC-3,22,3,25,22,3
 New York (Idlewild),1961-01-19,Aeronaves de Mexico,McDonnell Douglas DC-8-21,97,9,4,0,4
 Indonesia,1961-01-24,Garuda Indonesia Airlines,Douglas DC-3,16,5,21,16,5
 Newfoundland,1961-01-26,Military - U.S. Air Force,Douglas C-118A Liftmaster,13,10,23,13,10
 New York,1961-01-28,American Airlines,Boeing 707-123,0,6,6,0,6
