PaisAccidente,Fecha,OperadorAerolinea,TipoAeronave,PasajerosABordo,TripulacionABordo,CantidadFallecidos,MuertesPasajeros,MuertesTripulacion
 Ohio,1928-11-25,National Air Transport,Douglas M-4,0,1,1,0,1
 Texas,1928-12-01,Sunbeam Air Transport Co.,Ford 4-AT-B Tri Motor,4,1,5,4,1
Brazil,1928-12-03,Syndicato Condor,Dornier Wal,9,5,14,9,5
 Washington,1928-12-10,Spokane Airways,Ford Tri-motor 4,3,2,5,3,2
 Germany,1928-12-11,Deutsche Lufthansa,Junkers G-31,1,3,3,0,3
 Ohio,1928-12-20,National Air Transport,Douglas M-4,0,1,1,0,1
 France,1928-12-31,CIDNA,Blériot Spad 66,2,1,2,2,0
 Connecticut,1929-01-05,Colonial Air Transport,Fairchild FC-2,0,1,1,0,1
 Oregon,1929-01-18,Varney Air Lines,Stearman C-38,0,1,1,0,1
 Greece,1929-01-25,Aeroespresso,CMASA Wal,7,2,2,7,2
 West Virginia,1929-01-31,Skyline Transportation Company,Travel Air 4000,0,1,1,0,1
 New Jersey,1929-03-17,Colonial Western Airlines,Ford 5-AT-B Tri Motor,13,2,14,13,1
 California,1929-03-30,New Standard Airlines,Fokker F-VIIA,3,1,4,3,1
 California,1929-04-21,Maddux Airlines / Military - U.S.Army Air Force,Ford 5-AT-B Tri-Motor / B-PW-9D,3,3,6,3,3
  Pest Hungary,1929-05-18,MALERT,Fokker F-III,0,2,2,0,2
 Cuba,1929-06-13,Pan American Airways,Fokker F-X,1,4,2,1,1
 Spain,1929-06-14,Aeropostale,Breguet 14,0,2,1,0,1
 England,1929-06-17,Imperial Airways,Handley Page W-10,11,2,7,7,0
 Minnesota,1929-06-24,Northwest Orient Airlines,Ford 5-AT-B Tri-Motor,6,2,1,0,1
 Bavaria,1929-06-29,Bodensee Aerolloyd,Domier Delphin III (flying boat),4,1,5,4,1
 Ohio,1929-06-29,Continental Air Lines,Travel Air 4000,0,1,1,0,1
 Russia,1929-08-24,Ukvozduchput,Kalinin K-4,0,1,1,0,1
 Germany,1929-08-24,Deutsche Lufthansa,Fokker FG II,4,1,4,3,1
 California,1929-09-02,Associated Aviators,Lockheed Vega,0,2,1,0,1
 near Grants,1929-09-03,Trans Continental Air Transport,Ford 5-AT-B Tri Motor,5,3,8,5,3
 Iran,1929-09-06,Imperial Airways,de Havilland DH-66 Hercules,2,3,3,1,2
 Ontario,1929-09-14,Skyways,Travel Air 6000,5,1,6,5,1
 Morocco,1929-09-17,Aeropostale,Latecoere 25-3-R,3,2,5,3,2
 Italy,1929-10-26,Imperial Airways,Short Calcutta (flying boat),5,2,7,5,2
 Washington,1929-10-31,Bremerton-Seattle Air Taxi / Gorst Air Lines,Loening C-2C,0,2,2,0,2
 Mexico,1929-11-04,Corp. Aeronautica de Transportes,Lockheed Vega 5,3,1,4,3,1
 Surrey,1929-11-06,Deutsche Lufthansa,Junkers G-24,4,4,7,3,4
 France,1929-11-16,Air Union,Liore et Olivier 190,0,3,3,0,3
 East Sardinia,1929-11-20,S.A.M. Società Aerea Mediterranea,Savoia Marchetti S55,9,3,1,1,0
 Washington,1929-11-30,Varney Air Lines,Stearman M-2 Speedmail,0,1,1,0,1
 Ohio,1929-12-02,National Air Transport,Douglas M-3,0,1,1,0,1
 Germany,1929-12-19,Deutsche Lufthansa,Arado V1,0,2,2,0,2
 Madagascar,1930-01-13,Air Orient,Farman 190,0,3,3,0,3
 California,1930-01-19,Maddux Airlines,Ford 5-AT-C Tri Motor,14,2,16,14,2
 Spain,1930-01-25,Aeropostale,Latecoere 25,0,2,2,0,2
 Connecticut,1930-02-03,Colonial Air Transport,Pitcairn PA-6 Mailwing,0,1,1,0,1
 England,1930-02-10,Air Union,Farman F-63,3,3,2,2,0
 New Jersey,1930-04-18,Canadian Colonial Airways,Fairchild 71,3,1,4,3,1
 Argentina,1930-05-10,Aeropostale,Latecoere 28,2,2,3,1,2
 Massachusetts,1930-06-05,Colonial Air Transport,Ford Tri-Motor 5,13,2,1,1,0
 Denmark,1930-07-07,Deutsche Lufthansa,Dornier Wal,5,3,5,4,1
 Texas,1930-07-10,Cross Airways,Lockheed Vega 5,4,1,5,4,1
 Czechoslovakia,1930-08-22,Ceskoslovenske Aerolinie,Ford 5-AT-C Tri Motor,10,1,10,9,1
 Alberta,1930-09-25,Western Canada Airways,Boeing 40,2,1,3,2,1
 Germany,1930-10-06,Deutsche Lufthansa,Messerschmitt M-20B,6,2,8,6,2
 BC,1930-10-28,Alaska-Washington Airways,Lockheed Vega,2,1,3,2,1
 France,1930-10-30,Imperial Airways,Handley Page W-8,3,3,3,2,1
 Brazil,1930-11-07,Syndicato Condor,Junkers G-24,8,1,1,1,0
 Belgium,1931-01-08,Sabena,Fokker F-VII,0,2,2,0,2
 Washington,1931-01-22,Varney Air Lines,Boeing 40,0,1,1,0,1
 New Zealand,1931-02-08,Dominion Air Lines,Desoutter II,2,1,3,2,1
 Australia,1931-03-21,Australian National Airways,Avro 10,6,2,8,6,2
 Kansas,1931-03-31,Trans Continental and Western Air,Fokker F10A Trimotor,6,2,8,6,2
 Germany,1931-04-14,Deutsche Lufthansa,Messerschmitt M-20,7,3,2,0,2
 California,1931-05-05,Pacific Air Transport,Boeing 40,0,2,2,0,2
 Australia,1931-05-22,Guiena Airways,Junkers W-34,0,1,1,0,1
 Pennsylvania,1931-05-24,National Air Transport,Boeing 95,0,1,1,0,1
 Burma,1931-06-07,Air Orient,Fokker F-VIIB,0,4,4,0,4
 Ohio,1931-06-11,Rubner Flying Service,Lockheed Vega 2,1,2,2,0,2
 Germany,1931-06-13,Deutsche Lufthansa,Dornier Merkur,2,2,4,2,2
 Illinois,1931-07-12,Braniff Airlines,Lockheed Vega,0,2,2,0,2
 Bulgaria,1931-07-24,CIDNA,Fokker F-VII,5,2,7,5,2
 Ohio,1931-08-09,American Airways,Ford 5-AT-C Tri Motor,4,2,6,4,2
 Illinois,1931-09-14,Chicago-Detroit Airways,Lockheed Vega,0,1,1,0,1
 California,1931-09-16,Pacific Air Transport,Boeing 40,3,1,4,3,1
 Canada,1931-10-06,Deutsche Lufthansa,Heinkel HE-2,0,3,3,0,3
 New Jersey,1931-11-05,NY. Phil.. Washington AW,Lockheed Orion 9,4,1,5,4,1
 South Africa,1931-11-13,Union Airways,De Havilland DH.80,2,1,3,2,1
 Utah,1931-11-23,Boeing Air Transport,Boeing 40,0,1,1,0,1
 Washington,1931-11-26,Varney Air Lines,Boeing 40,0,1,1,0,1
 Illinois,1931-12-05,Braniff Airways,Lockheed Vega 5,5,1,2,2,0
 Thailand,1931-12-06,KLM Royal Dutch Airlines,Fokker F-VIIb-3M,3,4,5,2,3
 Ilinois,1932-01-21,Northwest Airways,Stinson SM-2A,0,1,1,0,1
 California,1932-01-29,Century Pacific Lines,Stinson SM-6000B,7,1,8,7,1
 California,1932-02-02,Boeing Air Transport,Boeing 40,0,2,1,0,1
 Michigan,1932-02-02,Transamerican Airlines,Stearman C-3MB,0,1,1,0,1
 Brazil,1932-02-27,Aeropostale,Latecoere 28,0,3,3,0,3
 Illinois,1932-03-08,Century Air Lines,Stinson SM-6000B,0,5,3,0,3
 California,1932-03-19,American Airways,Fokker F-10A,5,2,7,5,2
 Ohio,1932-03-21,Trans Continental and Western Air,Northrop Alpha 3,0,1,1,0,1
 Iraq,1932-03-29,Air Orient,Farman F-190,1,2,3,1,2
 Ohio,1932-03-31,National Air Transport,Boeing 95,0,1,1,0,1
 Indiana,1932-04-21,Transamerica Airlines,Stearman C-3MB,0,1,1,0,1
 California,1932-05-16,Pacific Air Transport,Boeing 40,2,1,3,2,1
 Oregon,1932-05-30,Varney Air Lines,Boeing 40,0,2,1,0,1
 near Vitacura,1932-07-16,Panagra,Ford 5-AT-C Tri Motor,6,3,9,6,3
 Lebanon,1932-08-12,Air Orient,CAMS 53,3,4,0,0,0
 Germany,1932-08-31,A B Aerotransport,Junkers G-23,0,2,2,0,2
 Texas,1932-09-08,American Airways,Fokker F-10,2,2,3,1,2
 England,1932-09-17,Air Union,Liore-et-Olivier 213,0,2,1,0,1
 Australia,1932-09-18,New England Airways,De Havilland DH-80,2,1,3,2,1
 Mauritania,1932-10-12,Aeropostale,Latecoere 28,0,1,1,0,1
 Germany,1932-11-02,Deutsche Lufthansa,Junkers F-13,3,2,5,3,2
 Arkansas,1932-11-25,Hunter Airways,Travel Air 6000,1,1,2,1,1
 Texas,1932-12-14,Trans Continental and Western Air,Ford 5,0,2,2,0,2
 Colorado,1932-12-14,Boeing Air Transport,Boeing 40,0,1,1,0,1
 Australia,1932-12-26,Guinea Airways,De Havilland DH-60,0,1,1,0,1
 New Jersey,1933-01-14,Eastern Air Transport,Curtiss Condor 18,0,2,2,0,2
 Georgia,1933-01-20,American Airways,Stearman 4,0,1,1,0,1
 Texas,1933-01-20,American Airways,Stearman 4,0,1,1,0,1
 Oregon,1933-01-24,Pacific Air Transport,Ford 5-AT-D,1,2,2,0,2
 California,1933-03-25,Varney Airlines,Lockheed Orion 9,2,1,3,2,1
 Belgium,1933-03-28,Imperial Airways,Armstrong Whitworth Argosy II,12,3,15,12,3
 Calabria,1933-04-23,Air Orient,Cams 53-1,5,3,5,2,3
 Germany,1933-04-29,Eurasia,Junkers W-34,2,2,4,2,2
 Spain,1933-05-09,Aeropostale - La Tecoere Company,Latecoere 28-1,3,3,6,3,3
 New Mexico,1933-08-29,Trans Continental and Western Air,Ford 5-AT-B Tri Motor,3,2,5,3,2
 Indiana,1933-10-10,United Air Lines,Boeing 247,7,3,10,7,3
 New Mexico,1933-11-10,Trans Continental and Western Air,Northrop Delta,0,1,0,0,0
 Illinois,1933-11-24,National Air Transport,Boeing 247,0,2,2,0,2
 Germany,1933-12-11,Deutsche Lufthansa,Focke-Wulf A-17,8,2,6,4,2
 South Africa,1933-12-14,Union Airways,Junkers W-34,4,2,5,3,2
 Belgium,1933-12-30,Imperial Airways,Avro 10,8,2,10,8,2
 France,1934-01-15,Air France,Dewoitine D-332,10,4,14,10,4
 Utah,1934-02-23,Boeing Aircraft Company,Boeing 247,5,3,8,5,3
 Peru,1934-03-22,Pan American Grace Airlines,Ford 5-AT-C Tri-Motor,12,3,3,0,3
 New York,1934-06-09,American Airways,Curtiss Condor T-32,4,3,7,4,3
 Argentina,1934-06-11,Panagra,Ford 5-AT-C Tri-Motor,7,3,6,3,3
 Germany,1934-06-22,Deutsche Lufthansa,Dornier Merkur,5,2,1,0,1
 California,1934-07-09,United Air Services,Lockheed Vega,3,1,3,2,1
 Germany,1934-07-27,Swissair,Curtiss AT-32C Condor,9,3,12,9,3
 Brazil,1934-08-05,Air France,Latecoere 26,0,2,2,0,2
 Missouri,1934-08-31,Rapid Air Transport,Stinson  SM-6000B,4,1,5,4,1
 Australia,1934-10-03,Qantas,de Havilland DH-50A,2,1,3,2,1
 Australia,1934-10-19,Holymans Airways,de Havilland DH-86,9,2,11,9,2
 Australia,1934-11-02,Holdens Air Transport Service,De Havilland DH-61,2,2,2,2,0
