PaisAccidente,OperadorAerolinea,Fecha,LugarAccidente,TipoAeronave
 Mexico,Aerolineas Cuahonte,1994-06-13,Near Uruapan- Mexico,Swearingen SA.226TC Metro II
 Florida,Aerolineas El Salvador,1965-02-13,Miami- Florida,Curtiss C-46A
,Aerolineas Flecha Austral,1968-07-18,Off Chili,Curtiss C-46D
 Chile,Aerolineas Flecha Austral,1972-06-13,Santiago- Chile,Curtiss C-46D
 Colombia,Aerolineas La Gaviola,1979-11-30,San Andres Island- Colombia,Grumman G-21 Goose
 Argentina,Aerolineas Litoral Argentina,1964-01-09,Zarate- Argentina,Douglas DC-3
,Aerolineas Nacionales,1959-06-01,Nicaragua,Curtiss C-46
 Colombia,Aerolineas TAO,1965-11-08,Near Boqueron- Colombia,Douglas C-47DL
 Colombia,Aerolineas TAO,1971-10-17,San Vicente del Caguan- Colombia,Douglas C-47A
 Colombia,Aerolineas TAO,1974-06-08,Monte San Isidro- Colombia,Vickers Viscount 785D
 Mexico,Aeromexico,1973-06-20,Near Puerto Vallarta- Mexico,McDonnell Douglas DC-9-15
 Mexico,Aeromexico,1981-07-27,Chihuahua- Mexico,McDonnell Douglas DC-9-32
 Mexico,Aeromexico,1981-11-08,Sierra de Guerro- Mexico,McDonnell Douglas DC-9-32
 Mexico,Aeromexico,2000-10-06,Reynosa- Mexico,McDonnell Douglas DC-9-31
 Iran,Aeromist-Kharkiv,2002-12-23,Near Isfanan- Iran,Antonov AN-140
 Mexico,Aeronaves de Mexico,1954-03-26,Monterrey- Mexico,Douglas DC-3
 Mexico,Aeronaves de Mexico,1958-06-02,Near Guadalajara- Mexico,Lockheed 749A Constellation
 New York (Idlewild),Aeronaves de Mexico,1961-01-19,New York- New York (Idlewild),McDonnell Douglas DC-8-21
 Mexico,Aeronaves de Mexico,1967-06-12,Near La Paz- Mexico,Douglas DC-3A-197D
 France,Aeronaves de Panama,1963-10-09,Near Marseilles- France,Douglas C-74
 Mexico,Aeronaves del Peru,1980-08-01,Cerro Lilio- Mexico,Douglas DC-8-43F
 Greenland,Aeronica,1985-04-20,Kulusuk- Greenland,Fokker F-27 Friendship 100
 Costa Rica,Aeronica,1988-05-26,Puerto Limon- Costa Rica,Douglas DC-6
 Russia,Aeronica,1994-10-29,Near Ust'-Ilimsk- Russia,Antonov AN-12A
 Chile,Aeronor Chile,1982-12-09,La Serena- Chile,Fairchild F-27J
 Brazil,Aeronorte,1973-09-30,Miritituba- Brazil,Douglas DC-3A
 Colombia,Aeronorte Colombia,1974-07-24,Bogota- Colombia,Douglas DC-4
 Colombia,Aeronorte Colombia,1980-09-10,Puerto Olaya- Colombia,Douglas C-47
 Bolivia,Aeropeca,1978-08-14,Sogamoso- Bolivia,Curtiss C-46
 Panama,Aeroperlas,1990-04-18,Off Contadora- Panama,de Havilland Canada DHC-6 Twin Otter 200
 Panama,Aeroperlas,2000-03-17,Near Kuna Yala- Panama,de Havilland Canada DHC-6 Twin Otter 300
 Peru,Aeroperu,1996-10-02,Off Pasamayo- Peru,Boeing B-757-200
 Chile,Aeropesca Colombia,1966-07-11,Cerro el Planchon- Chile,Curtiss C-46D
 Colombia,Aeropesca Colombia,1981-08-27,Mt. Elena- Colombia,Vickers Viscount 745D
 Colombia,Aeropesca Colombia,1982-03-26,Queate- Colombia,Vickers Viscount 745D
 Spain,Aeropostale,1920-12-24,Barcelona- Spain,Breguet 14
,Aeropostale,1921-02-15,Off Gibraltar,Breguet 14
 France,Aeropostale,1921-08-14,Toulouse- France,Breguet 14
 Spain,Aeropostale,1927-12-28,Almeria- Spain,Breguet 14
 Uruguay,Aeropostale,1928-01-16,Solis- Uruguay,Latecoere 25
 Spain,Aeropostale,1928-01-22,Tarragona- Spain,Breguet 14
 Ariège,Aeropostale,1928-01-22,L'Hospitalet- Ariège,Breguet 14
 Spain,Aeropostale,1928-01-27,Almeria- Spain,Breguet 14
 Brazil Florianopolis,Aeropostale,1928-05-07,Florianopolis- Brazil Florianopolis- Brazil Florianopolis- Brazil,Latecoere 26
 Spain,Aeropostale,1928-10-04,Gerona- Spain,Breguet 14
,Aeropostale,1928-11-15,Off Gibraltar,Latecoere 32
,Aeropostale,1929-01-31,Off Morocco,Latecoere 26
,Aeropostale,1929-05-22,Algiers,Cams 53
 Spain,Aeropostale,1929-06-14,Barcelona- Spain,Breguet 14
,Aeropostale,1929-09-14,North Atlantic Ocean,Latecoere 25
 Morocco,Aeropostale,1929-09-17,Off Larache- Morocco,Latecoere 25-3-R
 Spain,Aeropostale,1930-01-25,Off Ceuta- Spain,Latecoere 25
 Argentina,Aeropostale,1930-05-10,Buenos Aires- Argentina,Latecoere 28
 Morocco,Aeropostale,1930-10-12,La Rache- Morocco,Latecoere 28
,Aeropostale,1931-02-24,Off Spain,Latecoere 32
,Aeropostale,1931-12-09,Off Algiers,CAMS 56
 Brazil,Aeropostale,1932-02-27,Off Setiba- Brazil,Latecoere 28
 Mauritania,Aeropostale,1932-10-12,Port Etienne- Mauritania,Latecoere 28
,Aeropostale,1933-01-10,Algiers,CAMS 53
 Spain,Aeropostale - La Tecoere Company,1933-05-09,Near Viladrau- Spain,Latecoere 28-1
 Canada,Aéropro,2010-06-23,Quebec- Canada,Beechcraft A100 King Air
 Yugoslavia,Aeroput,1933-09-12,Near Ljubljana- Yugoslavia,Farman F-306
 Croatia,Aeroput,1936-07-15,Zagreb- Croatia,Spartan Cruiser
,Aeroput,1940-08-22,Gospic--Coatia,Lockheed 10 Electra
 Croatia,Aeroput,1940-10-22,Osijek- Croatia,Lockheed 10 Electra
 Czech Republic,Aeroservice International,1998-01-13,Brno- Czech Republic,Let 410UVP
 Honduras,Aeroservicios,1970-05-26,Near Tegucigalpa- Honduras,de Havilland DH-114 Heron 1B
